district,date,month,year,visitors,Type
Nagarkurnool ,01-03-2016,March,2016, ,Foreign
Nagarkurnool ,01-04-2016,April,2016, ,Foreign
Nagarkurnool ,01-05-2016,May,2016, ,Foreign
Nagarkurnool ,01-06-2016,June,2016, ,Foreign
Nagarkurnool ,01-07-2016,July,2016, ,Foreign
Nagarkurnool ,01-08-2016,August,2016, ,Foreign
Nagarkurnool ,01-09-2016,September,2016, ,Foreign
Nagarkurnool ,01-10-2016,October,2016,8,Foreign
Nagarkurnool ,01-11-2016,November,2016,11,Foreign
Nagarkurnool ,01-12-2016,December,2016,10,Foreign
Nalgonda,01-01-2016,January,2016,0,Foreign
Nalgonda,01-02-2016,February,2016,0,Foreign
Nalgonda,01-03-2016,March,2016,0,Foreign
Nalgonda,01-04-2016,April,2016,0,Foreign
Nalgonda,01-05-2016,May,2016,0,Foreign
Nalgonda,01-06-2016,June,2016,0,Foreign
Nalgonda,01-07-2016,July,2016,0,Foreign
Nalgonda,01-08-2016,August,2016,0,Foreign
Nalgonda,01-09-2016,September,2016,0,Foreign
Nalgonda,01-10-2016,October,2016,0,Foreign
Nalgonda,01-11-2016,November,2016,0,Foreign
Nalgonda,01-12-2016,December,2016,0,Foreign
Nirmal,01-01-2016,January,2016, ,Foreign
Nirmal,01-02-2016,February,2016, ,Foreign
Nirmal,01-03-2016,March,2016, ,Foreign
Nirmal,01-04-2016,April,2016, ,Foreign
Nirmal,01-05-2016,May,2016, ,Foreign
Nirmal,01-06-2016,June,2016, ,Foreign
Nirmal,01-07-2016,July,2016, ,Foreign
Nirmal,01-08-2016,August,2016, ,Foreign
Nirmal,01-09-2016,September,2016, ,Foreign
Nirmal,01-10-2016,October,2016,0,Foreign
Nirmal,01-11-2016,November,2016,0,Foreign
Nirmal,01-12-2016,December,2016,0,Foreign
Nizamabad,01-01-2016,January,2016,0,Foreign
Nizamabad,01-02-2016,February,2016,0,Foreign
Nizamabad,01-03-2016,March,2016,0,Foreign
Nizamabad,01-04-2016,April,2016,0,Foreign
Nizamabad,01-05-2016,May,2016,0,Foreign
Nizamabad,01-06-2016,June,2016,0,Foreign
Nizamabad,01-07-2016,July,2016,0,Foreign
Nizamabad,01-08-2016,August,2016,0,Foreign
Nizamabad,01-09-2016,September,2016,0,Foreign
Nizamabad,01-10-2016,October,2016,0,Foreign
Nizamabad,01-11-2016,November,2016,0,Foreign
Nizamabad,01-12-2016,December,2016,0,Foreign
Peddapalli,01-01-2016,January,2016, ,Foreign
Peddapalli,01-02-2016,February,2016, ,Foreign
Peddapalli,01-03-2016,March,2016, ,Foreign
Peddapalli,01-04-2016,April,2016, ,Foreign
Peddapalli,01-05-2016,May,2016, ,Foreign
Peddapalli,01-06-2016,June,2016, ,Foreign
Peddapalli,01-07-2016,July,2016, ,Foreign
Peddapalli,01-08-2016,August,2016, ,Foreign
Peddapalli,01-09-2016,September,2016, ,Foreign
Peddapalli,01-10-2016,October,2016,0,Foreign
Peddapalli,01-11-2016,November,2016,0,Foreign
Peddapalli,01-12-2016,December,2016,0,Foreign
Rajanna Sircilla ,01-01-2016,January,2016, ,Foreign
Rajanna Sircilla ,01-02-2016,February,2016, ,Foreign
Rajanna Sircilla ,01-03-2016,March,2016, ,Foreign
Rajanna Sircilla ,01-04-2016,April,2016, ,Foreign
Rajanna Sircilla ,01-05-2016,May,2016, ,Foreign
Rajanna Sircilla ,01-06-2016,June,2016, ,Foreign
Rajanna Sircilla ,01-07-2016,July,2016, ,Foreign
Rajanna Sircilla ,01-08-2016,August,2016, ,Foreign
Rajanna Sircilla ,01-09-2016,September,2016, ,Foreign
Rajanna Sircilla ,01-10-2016,October,2016,0,Foreign
Rajanna Sircilla ,01-11-2016,November,2016,0,Foreign
Rajanna Sircilla ,01-12-2016,December,2016,0,Foreign
Ranga Reddy,01-01-2016,January,2016, ,Foreign
Ranga Reddy,01-02-2016,February,2016, ,Foreign
Ranga Reddy,01-03-2016,March,2016, ,Foreign
Ranga Reddy,01-04-2016,April,2016, ,Foreign
Ranga Reddy,01-05-2016,May,2016, ,Foreign
Ranga Reddy,01-06-2016,June,2016, ,Foreign
Ranga Reddy,01-07-2016,July,2016, ,Foreign
Ranga Reddy,01-08-2016,August,2016, ,Foreign
Ranga Reddy,01-09-2016,September,2016, ,Foreign
Ranga Reddy,01-10-2016,October,2016, ,Foreign
Ranga Reddy,01-11-2016,November,2016, ,Foreign
Ranga Reddy,01-12-2016,December,2016, ,Foreign
Sangareddy ,01-01-2016,January,2016, ,Foreign
Sangareddy ,01-02-2016,February,2016, ,Foreign
Sangareddy ,01-03-2016,March,2016, ,Foreign
Sangareddy ,01-04-2016,April,2016, ,Foreign
Sangareddy ,01-05-2016,May,2016, ,Foreign
Sangareddy ,01-06-2016,June,2016, ,Foreign
Sangareddy ,01-07-2016,July,2016, ,Foreign
Sangareddy ,01-08-2016,August,2016, ,Foreign
Sangareddy ,01-09-2016,September,2016, ,Foreign
Sangareddy ,01-10-2016,October,2016,0,Foreign
Sangareddy ,01-11-2016,November,2016,0,Foreign
Sangareddy ,01-12-2016,December,2016,0,Foreign
Siddipet,01-01-2016,January,2016, ,Foreign
Siddipet,01-02-2016,February,2016, ,Foreign
Siddipet,01-03-2016,March,2016, ,Foreign
Siddipet,01-04-2016,April,2016, ,Foreign
Siddipet,01-05-2016,May,2016, ,Foreign
Siddipet,01-06-2016,June,2016, ,Foreign
Siddipet,01-07-2016,July,2016, ,Foreign
Siddipet,01-08-2016,August,2016, ,Foreign
Siddipet,01-09-2016,September,2016, ,Foreign
Siddipet,01-10-2016,October,2016,0,Foreign
Siddipet,01-11-2016,November,2016,0,Foreign
Siddipet,01-12-2016,December,2016,0,Foreign
Suryapet,01-01-2016,January,2016, ,Foreign
Suryapet,01-02-2016,February,2016, ,Foreign
Suryapet,01-03-2016,March,2016, ,Foreign
Suryapet,01-04-2016,April,2016, ,Foreign
Suryapet,01-05-2016,May,2016, ,Foreign
Suryapet,01-06-2016,June,2016, ,Foreign
Suryapet,01-07-2016,July,2016, ,Foreign
Suryapet,01-08-2016,August,2016, ,Foreign
Suryapet,01-09-2016,September,2016, ,Foreign
Suryapet,01-10-2016,October,2016,0,Foreign
Suryapet,01-11-2016,November,2016,0,Foreign
Suryapet,01-12-2016,December,2016,0,Foreign
Vikarabad,01-01-2016,January,2016, ,Foreign
Vikarabad,01-02-2016,February,2016, ,Foreign
Vikarabad,01-03-2016,March,2016, ,Foreign
Vikarabad,01-04-2016,April,2016, ,Foreign
Vikarabad,01-05-2016,May,2016, ,Foreign
Vikarabad,01-06-2016,June,2016, ,Foreign
Vikarabad,01-07-2016,July,2016, ,Foreign
Vikarabad,01-08-2016,August,2016, ,Foreign
Vikarabad,01-09-2016,September,2016, ,Foreign
Vikarabad,01-10-2016,October,2016, ,Foreign
Vikarabad,01-11-2016,November,2016, ,Foreign
Vikarabad,01-12-2016,December,2016, ,Foreign
Wanaparthy ,01-01-2016,January,2016, ,Foreign
Wanaparthy ,01-02-2016,February,2016, ,Foreign
Wanaparthy ,01-03-2016,March,2016, ,Foreign
Wanaparthy ,01-04-2016,April,2016, ,Foreign
Wanaparthy ,01-05-2016,May,2016, ,Foreign
Wanaparthy ,01-06-2016,June,2016, ,Foreign
Wanaparthy ,01-07-2016,July,2016, ,Foreign
Wanaparthy ,01-08-2016,August,2016, ,Foreign
Wanaparthy ,01-09-2016,September,2016, ,Foreign
Wanaparthy ,01-10-2016,October,2016,0,Foreign
Wanaparthy ,01-11-2016,November,2016,0,Foreign
Wanaparthy ,01-12-2016,December,2016,0,Foreign
Warangal (Rural),01-01-2016,January,2016, ,Foreign
Warangal (Rural),01-02-2016,February,2016, ,Foreign
Warangal (Rural),01-03-2016,March,2016, ,Foreign
Warangal (Rural),01-04-2016,April,2016, ,Foreign
Warangal (Rural),01-05-2016,May,2016, ,Foreign
Warangal (Rural),01-06-2016,June,2016, ,Foreign
Warangal (Rural),01-07-2016,July,2016, ,Foreign
Warangal (Rural),01-08-2016,August,2016, ,Foreign
Warangal (Rural),01-09-2016,September,2016, ,Foreign
Warangal (Rural),01-10-2016,October,2016,0,Foreign
Warangal (Rural),01-11-2016,November,2016,0,Foreign
Warangal (Rural),01-12-2016,December,2016,0,Foreign
Warangal (Urban),01-01-2016,January,2016,459,Foreign
Warangal (Urban),01-02-2016,February,2016,391,Foreign
Warangal (Urban),01-03-2016,March,2016,230,Foreign
Warangal (Urban),01-04-2016,April,2016,39,Foreign
Warangal (Urban),01-05-2016,May,2016,82,Foreign
Warangal (Urban),01-06-2016,June,2016,88,Foreign
Warangal (Urban),01-07-2016,July,2016,53,Foreign
Warangal (Urban),01-08-2016,August,2016,102,Foreign
Warangal (Urban),01-09-2016,September,2016,118,Foreign
Warangal (Urban),01-10-2016,October,2016,108,Foreign
Warangal (Urban),01-11-2016,November,2016,97,Foreign
Warangal (Urban),01-12-2016,December,2016,132,Foreign
Yadadri Bhongir,01-01-2016,January,2016, ,Foreign
Yadadri Bhongir,01-02-2016,February,2016, ,Foreign
Yadadri Bhongir,01-03-2016,March,2016, ,Foreign
Yadadri Bhongir,01-04-2016,April,2016, ,Foreign
Yadadri Bhongir,01-05-2016,May,2016, ,Foreign
Yadadri Bhongir,01-06-2016,June,2016, ,Foreign
Yadadri Bhongir,01-07-2016,July,2016, ,Foreign
Yadadri Bhongir,01-08-2016,August,2016, ,Foreign
Yadadri Bhongir,01-09-2016,September,2016, ,Foreign
Yadadri Bhongir,01-10-2016,October,2016,0,Foreign
Yadadri Bhongir,01-11-2016,November,2016,0,Foreign
Yadadri Bhongir,01-12-2016,December,2016,0,Foreign
Adilabad,01-01-2017,January,2017,5,Foreign
Adilabad,01-02-2017,February,2017,0,Foreign
Adilabad,01-03-2017,March,2017,0,Foreign
Adilabad,01-04-2017,April,2017,0,Foreign
Adilabad,01-05-2017,May,2017,0,Foreign
Adilabad,01-06-2017,June,2017,3,Foreign
Adilabad,01-07-2017,July,2017,0,Foreign
Adilabad,01-08-2017,August,2017,0,Foreign
Adilabad,01-09-2017,September,2017,3,Foreign
Adilabad,01-10-2017,October,2017,0,Foreign
Adilabad,01-11-2017,November,2017,0,Foreign
Adilabad,01-12-2017,December,2017,0,Foreign
Bhadradri Kothagudem ,01-01-2017,January,2017,0,Foreign
Bhadradri Kothagudem ,01-02-2017,February,2017,0,Foreign
Bhadradri Kothagudem ,01-03-2017,March,2017,0,Foreign
